,city,category,amount
440,Scottsdale, Sandwiches,227
441,Toronto, Venues & Event Spaces,226
442,Montréal, Beauty & Spas,226
443,Tempe, Professional Services,226
444,Toronto, Lounges,224
445,Mississauga, Beauty & Spas,224
446,Toronto, Pets,224
447,Phoenix,Event Planning & Services,223
448,Glendale, Automotive,223
449,Toronto, Mags,222
450,Madison, Local Services,222
451,Toronto, Music & Video,222
452,Las Vegas, Medical Spas,222
453,Charlotte, Doctors,222
454,Phoenix,Doctors,221
455,Charlotte, Fitness & Instruction,221
456,Mesa, Real Estate,221
457,Scottsdale, American (Traditional),221
458,Toronto, Education,220
459,Las Vegas, Sporting Goods,219
460,Las Vegas,Coffee & Tea,219
461,Toronto, Arts & Crafts,217
462,Etobicoke, Restaurants,216
463,Charlotte, Specialty Food,216
464,Las Vegas,Nail Salons,216
465,Tempe, Nightlife,215
466,Madison, Event Planning & Services,215
467,Charlotte, Apartments,215
468,Las Vegas, Home Cleaning,215
469,Phoenix,Auto Repair,215
470,Las Vegas, Furniture Stores,214
471,Henderson,Home Services,213
472,Phoenix, Cosmetic Dentists,213
473,Gilbert, Doctors,213
474,Las Vegas, Tires,212
475,Phoenix, Auto Parts & Supplies,212
476,Laval, Restaurants,212
477,Toronto,Italian,211
478,Las Vegas, Cocktail Bars,211
479,Chandler, Active Life,211
480,Cleveland, Home Services,211
481,Henderson, Professional Services,210
482,Toronto, Vegetarian,210
483,Las Vegas, Department Stores,210
484,Las Vegas, Insurance,209
485,Las Vegas,American (Traditional),209
486,Chandler, Doctors,209
487,Charlotte,Automotive,209
488,Toronto, Chicken Wings,209
489,Gilbert,Home Services,209
490,Las Vegas,Pizza,209
491,Toronto,Event Planning & Services,209
492,Charlotte, Hair Removal,208
493,Scottsdale, Breakfast & Brunch,208
494,Scottsdale,Food,208
495,Las Vegas, Dance Clubs,208
496,Toronto, Doctors,207
497,Montréal, Bakeries,207
498,Tempe,Home Services,207
499,Phoenix, Caterers,206
500,Phoenix, Tires,206
501,Toronto, Seafood,206
502,Toronto, Flowers & Gifts,206
503,Toronto,Fashion,205
504,Las Vegas, Plumbing,205
505,Phoenix, Bakeries,205
506,Cleveland, Event Planning & Services,204
507,Toronto, American (New),204
508,North Las Vegas, Home Services,203
509,Cleveland, Automotive,203
510,Tempe, Real Estate,203
511,Charlotte, Pizza,203
512,Las Vegas, Landscaping,203
513,Phoenix, Salad,202
514,Tempe, Active Life,202
515,Phoenix, Desserts,202
516,Chandler,Shopping,202
517,Montréal, Italian,202
518,Toronto, Thai,202
519,Gilbert,Restaurants,201
520,Montréal, Fashion,201
521,Mesa, Event Planning & Services,201
522,Las Vegas, Music Venues,201
523,Pittsburgh, Home & Garden,201
524,Phoenix, Waxing,201
525,Toronto, Mexican,200
526,Las Vegas, Barbeque,199
527,Las Vegas, Tours,199
528,Markham, Shopping,198
529,Las Vegas, Barbers,198
530,Las Vegas, Car Dealers,198
531,Las Vegas, Steakhouses,197
532,Markham, Chinese,197
533,Champaign, Shopping,197
534,Las Vegas, Local Flavor,197
535,Scottsdale, Medical Spas,196
536,Chandler,Home Services,196
537,Pittsburgh,Beauty & Spas,196
538,Toronto, Men's Clothing,196
539,Las Vegas, Trainers,195
540,Tempe,Shopping,195
541,Las Vegas, Wedding Planning,195
542,Scottsdale, Dentists,195
543,Mesa, Contractors,195
544,Phoenix,Active Life,194
545,Phoenix, Oil Change Stations,194
546,Toronto, Korean,194
547,Toronto,Pizza,194
548,Phoenix, Gyms,193
549,Gilbert, Active Life,193
550,Las Vegas, Arts & Crafts,192
551,Phoenix, Medical Centers,192
552,Montréal,Nightlife,192
553,Pittsburgh, Breakfast & Brunch,191
554,Montréal, Pizza,191
555,Cleveland, American (Traditional),191
556,Toronto,Bakeries,190
557,Scarborough,Restaurants,190
558,Tempe, Event Planning & Services,190
559,Scottsdale, Financial Services,190
560,Charlotte, Nail Salons,189
561,Pittsburgh, Italian,189
562,Phoenix, Barbers,188
563,Las Vegas,Sandwiches,188
564,Phoenix,Fast Food,188
565,Mesa,Local Services,188
566,Toronto, Waxing,188
567,Las Vegas, Printing Services,188
568,Madison, Health & Medical,187
569,Madison,Shopping,187
570,Toronto, Cocktail Bars,186
571,Phoenix, Gas Stations,186
572,Montréal, Arts & Entertainment,186
573,Tempe, Bars,186
574,Phoenix, Women's Clothing,186
575,Las Vegas, Drugstores,186
576,Phoenix, Furniture Stores,186
577,Scottsdale,Local Services,185
578,Pittsburgh, Fast Food,185
579,Brampton,Restaurants,185
580,Phoenix, IT Services & Computer Repair,185
581,Phoenix,Hotels & Travel,184
582,Charlotte,Local Services,184
583,Toronto,Home Services,184
584,North Las Vegas, Shopping,184
585,Richmond Hill,Restaurants,184
586,Phoenix, Landscaping,184
587,Toronto, Vegan,183
588,Glendale,Shopping,183
589,Toronto,Sandwiches,183
590,Phoenix, Lawyers,183
591,Scottsdale, Women's Clothing,183
592,Cleveland,Food,183
593,Las Vegas, Transportation,182
594,Charlotte, Mexican,182
595,Las Vegas, Heating & Air Conditioning/HVAC,182
596,Gilbert, Automotive,182
597,Las Vegas,Apartments,182
598,Toronto,Japanese,182
599,Scarborough, Food,182
600,Henderson,Shopping,182
601,Mesa, Fast Food,182
602,Chandler,Health & Medical,182
603,Las Vegas, Music & Video,181
604,Mississauga,Food,181
605,Toronto, Sporting Goods,181
606,Charlotte, Dentists,181
607,Las Vegas, Mags,181
608,Pittsburgh, Hair Salons,181
609,Henderson, Event Planning & Services,181
610,Montréal, Burgers,181
611,Phoenix, Ice Cream & Frozen Yogurt,180
612,Toronto,Active Life,180
613,Scottsdale, Day Spas,179
614,Las Vegas, Mobile Phones,178
615,Chandler,Beauty & Spas,178
616,Las Vegas, Carpet Cleaning,176
617,Las Vegas, Tobacco Shops,176
618,Las Vegas, Personal Injury Law,176
619,Pittsburgh,Health & Medical,176
620,Scottsdale, Massage,175
621,Toronto, Barbeque,175
622,Toronto, Cosmetics & Beauty Supply,175
623,Mesa,Food,175
624,Phoenix, Venues & Event Spaces,175
625,Gilbert,Health & Medical,174
626,Phoenix, Cosmetics & Beauty Supply,174
627,Scottsdale, Coffee & Tea,174
628,Phoenix, Hair Stylists,174
629,Scottsdale, Nail Salons,174
630,Phoenix, Flowers & Gifts,174
631,Scottsdale, General Dentistry,173
632,Glendale, Doctors,173
633,Cleveland, Local Services,173
634,Las Vegas, Banks & Credit Unions,173
635,Scottsdale, Hair Stylists,173
636,Phoenix,Nightlife,173
637,North Las Vegas, Food,173
638,Madison, Automotive,173
639,Cleveland, Sandwiches,173
640,Toronto, Beer,172
641,Vaughan, Food,172
642,Phoenix, Trainers,172
643,Phoenix,Financial Services,172
644,Toronto, Books,172
645,North York, Food,172
646,Charlotte, Wine & Spirits,172
647,Las Vegas,Pets,171
648,Toronto, Home Decor,171
649,Pittsburgh, Hotels & Travel,170
650,Toronto,Cafes,170
651,Peoria, Food,170
652,Las Vegas, Flooring,169
653,Peoria, Automotive,169
654,Brampton, Food,168
655,Richmond Hill, Food,168
656,Las Vegas, Pet Groomers,167
657,Mesa, American (Traditional),167
658,Mesa, Mexican,167
659,Phoenix, Chicken Wings,167
660,Scottsdale, Education,167
661,Scottsdale, Waxing,166
662,Las Vegas, Laundry Services,166
663,Phoenix, Hotels,165
664,Phoenix,Sandwiches,165
665,Cleveland, Arts & Entertainment,165
666,Toronto,Breakfast & Brunch,165
667,Phoenix, Wine & Spirits,165
668,Phoenix, Chinese,165
669,Gastonia, Restaurants,165
670,Las Vegas, Pubs,165
671,Charlotte, Salad,164
672,Montréal, Hotels & Travel,164
673,North York, Shopping,164
674,Pittsburgh, Burgers,164
675,Madison, Active Life,164
676,Las Vegas, Delis,163
677,Toronto, Pet Services,163
678,Surprise, Restaurants,162
679,Toronto, Ethnic Food,162
680,Cleveland, Beauty & Spas,162
681,Cleveland, American (New),162
682,Charlotte, Chicken Wings,162
683,Mississauga, Nightlife,161
684,Mississauga, Event Planning & Services,161
685,Mesa, Nightlife,161
686,Charlotte, Pets,161
687,Scottsdale, Real Estate Services,161
688,Charlotte, Women's Clothing,161
689,Henderson,Beauty & Spas,160
690,Montréal, Japanese,160
691,Toronto, Eyelash Service,160
692,Phoenix, Real Estate Services,160
693,Tempe,Food,160
694,Henderson, Nightlife,160
695,Charlotte, Waxing,160
696,Mississauga, Bars,159
697,Toronto, Jewelry,159
698,Toronto,Arts & Entertainment,159
699,Mesa, Bars,159
700,Phoenix, Heating & Air Conditioning/HVAC,159
701,Las Vegas, Men's Hair Salons,159
702,Mesa,Beauty & Spas,158
703,Montréal, Chinese,158
704,Concord, Shopping,158
705,Glendale,Home Services,158
706,Scottsdale,Automotive,158
707,Las Vegas,Dentists,158
708,Surprise, Home Services,158
709,Phoenix, Specialty Schools,158
710,Champaign, Food,158
711,Phoenix,Apartments,157
712,Phoenix, Arts & Crafts,157
713,Madison, Fashion,157
714,Phoenix, Cafes,156
715,Charlotte, General Dentistry,156
716,Montréal, Desserts,156
717,Henderson, Hair Salons,156
718,Chandler, Fashion,155
719,Scottsdale, Accessories,155
720,Phoenix, Seafood,155
721,Toronto,Desserts,155
722,Pittsburgh,Home Services,155
723,Phoenix, Home Cleaning,155
724,Pittsburgh, Specialty Food,155
725,Vaughan,Restaurants,155
726,Charlotte, Skin Care,155
727,Scottsdale,Doctors,155
728,North Las Vegas, Local Services,154
729,Chandler, Real Estate,154
730,Pittsburgh,Automotive,154
731,Charlotte, Grocery,154
732,Phoenix,Coffee & Tea,154
733,Tempe, Home & Garden,154
734,North York,Restaurants,154
735,Phoenix,Home & Garden,154
736,Phoenix, Electronics,153
737,Tempe, Coffee & Tea,153
738,Toronto,Nail Salons,153
739,Phoenix, Movers,153
740,Las Vegas, Tacos,152
741,Glendale, Home & Garden,152
742,Toronto, Halal,152
743,Montréal, Active Life,152
744,Phoenix, Plumbing,152
745,Scottsdale, Contractors,152
746,Peoria, Local Services,152
747,Phoenix, Building Supplies,151
748,Las Vegas, Discount Store,151
749,Peoria, Beauty & Spas,151
750,Toronto,Specialty Food,151
751,Las Vegas, Body Shops,151
752,Las Vegas, Tattoo,150
753,Toronto,Fast Food,150
754,Phoenix, Tacos,150
755,Matthews, Restaurants,150
756,Toronto, Vietnamese,150
757,Toronto, Laundry Services,150
758,Pittsburgh, Auto Repair,149
759,Toronto, French,149
760,Phoenix,Hair Salons,149
761,Pittsburgh, Real Estate,149
762,Las Vegas, Adult Entertainment,149
763,Las Vegas,Women's Clothing,149
764,Charlotte, Desserts,149
765,Scottsdale, Pets,149
766,Madison, American (Traditional),148
767,Chandler, Home & Garden,147
768,Toronto, Massage Therapy,147
769,Henderson, Bars,147
770,Pittsburgh, Fitness & Instruction,147
771,Scottsdale, Pizza,147
772,Toronto, Dry Cleaning & Laundry,147
773,Toronto,Automotive,147
774,Scottsdale,Real Estate,147
775,North Las Vegas, Automotive,147
776,Las Vegas, Mobile Phone Accessories,146
777,Toronto, Shoe Stores,146
778,Mesa, Fashion,146
779,Tempe, Fashion,146
780,Phoenix, Sporting Goods,146
781,Phoenix, Massage,145
782,Chandler, Professional Services,145
783,Charlotte, Caterers,145
784,Glendale,Beauty & Spas,145
785,Phoenix, Car Dealers,144
786,Toronto,Hotels & Travel,144
787,Charlotte,Real Estate,144
788,Las Vegas,Chinese,143
789,Montréal,Coffee & Tea,143
790,Madison, Home & Garden,143
791,Henderson, Home & Garden,143
792,Tempe, Auto Repair,143
793,Toronto, Comfort Food,143
794,Charlotte,Nightlife,143
795,Las Vegas,Italian,143
796,Toronto, Gluten-Free,143
797,Las Vegas, Books,143
798,Phoenix,Pets,142
799,Scottsdale, Trainers,142
800,Las Vegas, Orthodontists,142
801,Las Vegas, Auto Glass Services,142
802,Chandler, Event Planning & Services,142
803,Chandler, Hair Salons,142
804,Mentor, Restaurants,142
805,Mississauga,Shopping,141
806,Las Vegas, Event Photography,141
807,Pittsburgh,Pizza,141
808,Las Vegas, Blow Dry/Out Services,141
809,Pittsburgh,Nightlife,141
810,Las Vegas, Vegan,141
811,Lakewood, Restaurants,141
812,Phoenix, Banks & Credit Unions,141
813,Phoenix, Drugstores,140
814,Las Vegas,American (New),140
815,Fort Mill, Restaurants,140
816,Chandler, Nightlife,140
817,Toronto, Diners,140
818,Las Vegas, Dry Cleaning & Laundry,140
819,Chandler, Fitness & Instruction,140
820,Phoenix, Flooring,140
821,Phoenix, Delis,139
822,Phoenix, Juice Bars & Smoothies,139
823,Toronto,Burgers,139
824,Mesa, Dentists,139
825,Scottsdale, Italian,139
826,Gilbert, Professional Services,139
827,Surprise, Shopping,138
828,Newmarket, Restaurants,138
829,Charlotte, Beer,138
830,Las Vegas, Pet Sitting,138
831,Las Vegas, Optometrists,138
832,Tempe, Doctors,138
833,Pittsburgh, Nail Salons,138
834,Markham, Beauty & Spas,138
835,Madison,Food,137
836,Phoenix, Beer,137
837,Henderson,Automotive,137
838,Las Vegas, Kitchen & Bath,137
839,Scottsdale, Cosmetic Dentists,137
840,Las Vegas,Home & Garden,137
841,Akron, Restaurants,136
842,Tempe, Sandwiches,136
843,Madison, Sandwiches,136
844,Montréal,Bars,136
845,Mississauga, Automotive,136
846,Gilbert, Home & Garden,136
847,Las Vegas, Auto Detailing,136
848,Phoenix, Jewelry,136
849,Phoenix, Party & Event Planning,136
850,Phoenix, Massage Therapy,136
851,Mesa, Hair Salons,136
852,Henderson,Food,136
853,Toronto, Dentists,136
